,No.,expression,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total
,,,20,9,9,9,180,0,25,7,1,140,0,25,6,1,752,0,9,9,9,45,0,1,1,1,20,0,1,1,1,15,0,1,1,1,4,0,1,1,1,5,0,1,1,1,1
,14,!afi+!afj+bc!g!k!np+bc!g!l!np,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,1,1,1,48,0,4,1,1,30,0,4,1,1,214,0,1,1,1,4,0,1,1,1,18,0,1,1,1,14,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,15,b!ceg+!dcfko+!dcf!lm!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,1,1,1,36,0,1,1,1,15,0,1,1,1,176,0,1,1,1,3,0,1,1,1,15,0,1,1,1,12,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,16,a!c!d!f+!bcj+!blm!n+gl!n+glo!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,2,1,1,1,82,0,2,1,1,22,0,2,1,1,300,0,1,1,1,5,0,1,1,1,18,0,1,1,1,13,0,1,1,1,4,0,1,1,1,5,0,1,1,1,1
,17,def!gi+def!g!lm+def!g!m!no,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,2,5,1,1,21,0,2,1,1,23,0,5,1,1,118,0,5,2,1,7,0,1,1,1,18,0,1,1,1,15,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,18,lm!n!o+lmn!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,2,1,1,6,0,1,1,1,8,0,2,1,1,18,0,1,1,1,2,0,1,1,1,8,0,1,1,1,6,0,1,1,1,1,0,1,1,1,2,0,1,1,1,1
,19,abc+adef+aghi,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,1,1,1,32,0,1,1,1,11,0,1,1,1,116,0,1,1,1,3,0,1,1,1,11,0,1,1,1,8,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,20,!a!b!cjk+!a!b!cl!mn+!a!bejk+!a!bel!mn+!a!d!cjk+!a!d!cl!mn+!a!dejk+!a!del!mn+j!l!m!nopq+j!l!m!nroq,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,18,1,1,1,146,0,4,1,1,112,0,4,1,1,926,0,1,1,1,10,0,1,1,1,58,0,1,1,1,48,0,1,1,1,9,0,1,1,1,10,0,1,1,1,1
,21,stuvx+stuvw+stuwx,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,3,4,4,4,12,0,4,2,1,33,0,4,2,1,66,0,4,4,4,12,0,1,1,1,15,0,1,1,1,12,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,22,!jkmn!st!v+!jkmn!t!uw+!jkmn!tv!x+!jklo!q!st!v+!jklo!q!t!uw+!jklo!q!tv!x+!jk!op!st!v+!jk!op!t!uw+!jk!op!tv!x,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,2,1,1,123,0,1,1,1,66,0,2,1,1,879,0,1,1,1,9,0,1,1,1,66,0,1,1,1,57,0,1,1,1,8,0,1,1,1,9,0,1,1,1,1
,23,ab!lm+abl!mn!o+abm!n!o+abjko!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,1,1,1,1,29,0,3,1,1,27,0,3,1,1,153,0,1,1,1,4,0,1,1,1,21,0,1,1,1,17,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,24,a!bcop!qstuv+a!bcop!q!su!v!w+a!bcd!m!pqstuv+a!bcd!m!pq!su!v!w,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,1,1,1,20,0,1,1,1,42,0,1,1,1,208,0,1,1,1,4,0,1,1,1,42,0,1,1,1,38,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,25,!ac!euv!w!x+!ac!emnop+!ac!eik!l!h+acefuv!w!x+acefmnop+acefik!l!h,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,0,35,16,3,1728,0,4,2,2,102,0,42,5,1,4042,0,64,60,57,363,0,1,1,1,45,0,1,1,1,39,0,1,1,1,5,0,1,1,1,6,0,1,1,1,1
